"direction","predictor","best_r2_threshold_m","best_r2","best_slope","best_p_value","best_AIC","sample_size","effect_interpretation","best_aic_threshold_m","best_aic","shortest_significant_threshold_m"
"All","has_neighbour",30,0.0121697078419608,0.549695912753755,0.00389463409782882,1084.33577728947,683,"more nearby plots are associated with higher DGR",30,1084.33577728947,20
"All","n_neighbours",500,0.032217191702447,0.00211202354033286,0.00000235061775763022,1070.33207569703,683,"more nearby plots are associated with higher DGR",500,1070.33207569703,80
"All","nearest_distance_m",140,0.0110696019132378,-0.0103784790496219,0.00591875016703999,1085.09598304487,683,"closer nearest plots are associated with higher DGR",20,1067.83441916879,140
"All","neighbour_density_per_ha",500,0.032217191702447,0.16587794096296,0.00000235061775763016,1070.33207569703,683,"more nearby plots are associated with higher DGR",500,1070.33207569703,80
"All","proximity_pressure",500,0.0228641268926159,0.380672525607238,0.0000726827790794724,1076.9011858315,683,"more nearby plots are associated with higher DGR",500,1076.9011858315,100
"NE","has_neighbour",160,0.0368702634507723,0.817779939424362,0.000000427835521315499,1067.04031174398,683,"more nearby plots are associated with higher DGR",160,1067.04031174398,20
"NE","n_neighbours",40,0.0483751576141337,0.149354632336737,0.00000000629178370779647,1058.83253685206,683,"more nearby plots are associated with higher DGR",40,1058.83253685206,20
"NE","nearest_distance_m",230,0.0246662553959664,-0.00288689948015209,0.0000410746423217255,1059.25231158032,676,"closer nearest plots are associated with higher DGR",20,846.686143676155,60
"NE","neighbour_density_per_ha",40,0.0483751576141336,0.0187684566291481,0.00000000629178370779588,1058.83253685206,683,"more nearby plots are associated with higher DGR",40,1058.83253685206,20
"NE","proximity_pressure",70,0.0418070793738391,2.20331296383109,0.0000000701125143182074,1063.53038311903,683,"more nearby plots are associated with higher DGR",70,1063.53038311903,20
"NW","has_neighbour",90,0.141370672728582,0.473895522063934,0.00000000000000000000000232859787199915,988.597207374133,683,"more nearby plots are associated with higher DGR",90,988.597207374133,40
"NW","n_neighbours",170,0.290021015625677,0.0412304567807756,0.000000000000000000000000000000000000000000000000000126339738872755,858.757580875052,683,"more nearby plots are associated with higher DGR",170,858.757580875052,40
"NW","nearest_distance_m",160,0.0895634365714678,-0.00644164648960735,0.000000000000113038053711085,860.4610100687,590,"closer nearest plots are associated with higher DGR",50,728.360051129544,50
"NW","neighbour_density_per_ha",170,0.290021015625677,0.0935849193414947,0.000000000000000000000000000000000000000000000000000126339738872733,858.757580875052,683,"more nearby plots are associated with higher DGR",170,858.757580875052,40
"NW","proximity_pressure",500,0.314546821647271,2.4551395194318,0.000000000000000000000000000000000000000000000000000000000768119248808938,834.746595415379,683,"more nearby plots are associated with higher DGR",500,834.746595415379,40
"SE","has_neighbour",190,0.235443805651313,-0.692791294872662,0.0000000000000000000000000000000000000000125350780482286,909.340668277156,683,"more nearby plots are associated with lower DGR",190,909.340668277156,50
"SE","n_neighbours",280,0.346623737236553,-0.0199908030592869,0.0000000000000000000000000000000000000000000000000000000000000000598699618017818,802.01243799137,683,"more nearby plots are associated with lower DGR",280,802.01243799137,50
"SE","nearest_distance_m",190,0.0166378253825969,-0.00261370848952721,0.00208736773862944,772.904440524175,567,"closer nearest plots are associated with higher DGR",50,609.032770062449,60
"SE","neighbour_density_per_ha",280,0.346623737236552,-0.123093801659615,0.0000000000000000000000000000000000000000000000000000000000000000598699618017955,802.01243799137,683,"more nearby plots are associated with lower DGR",280,802.01243799137,50
"SE","proximity_pressure",350,0.406597058065017,-2.98113010252557,0.000000000000000000000000000000000000000000000000000000000000000000000000000000320090678028703,736.253536688072,683,"more nearby plots are associated with lower DGR",350,736.253536688072,50
"SW","has_neighbour",40,0.0332164662493174,-0.249635467103014,0.00000163033227723077,1069.62648647904,683,"more nearby plots are associated with lower DGR",40,1069.62648647904,20
"SW","n_neighbours",410,0.109694727060917,0.00713372609499865,0.000000000000000000599941515442102,1013.34031320878,683,"more nearby plots are associated with higher DGR",410,1013.34031320878,20
"SW","nearest_distance_m",110,0.0399328693335622,0.00611842121575283,0.000000297667083935226,1019.77728053664,647,"more spacing to the nearest plot is associated with higher DGR",20,868.384063692652,60
"SW","neighbour_density_per_ha",410,0.109694727060917,0.0941833264233644,0.000000000000000000599941515441997,1013.34031320878,683,"more nearby plots are associated with higher DGR",410,1013.34031320878,20
"SW","proximity_pressure",500,0.05675254253671,0.919671979423499,0.000000000287245197825927,1052.79330013719,683,"more nearby plots are associated with higher DGR",500,1052.79330013719,20
