"method","distance_threshold_m","moran_i","expected_i","p_value","n_permutations","mean_neighbours","min_neighbours","max_neighbours","n_isolates"
"distance",50,0.703893600589986,-0.00146627565982405,0.005,199,6.48901903367496,0,12,1
"distance",100,0.521619729293013,-0.00146627565982405,0.005,199,19.5783308931186,0,33,1
"distance",150,0.396904778126626,-0.00146627565982405,0.005,199,37.3147877013177,3,63,0
"distance",200,0.284139319020773,-0.00146627565982405,0.005,199,58.688140556369,6,101,0
"distance",250,0.218861851945652,-0.00146627565982405,0.005,199,81.1830161054173,16,129,0
"distance",300,0.159021438458632,-0.00146627565982405,0.005,199,105.707174231332,37,156,0
"distance",350,0.105135658911847,-0.00146627565982405,0.005,199,128.644216691069,54,191,0
"distance",400,0.0705873753892696,-0.00146627565982405,0.005,199,151.265007320644,67,211,0
"distance",450,0.0430741180875902,-0.00146627565982405,0.005,199,173.00439238653,81,242,0
"distance",500,0.0295887856234414,-0.00146627565982405,0.005,199,191.642752562225,94,262,0
"adjacency",NA,NA,NA,NA,199,0,0,0,683
