"direction","distance_threshold_m","predictor","slope","p_value","r_squared","adj_r_squared","AIC","sample_size","conf_low","conf_high","status","effect_interpretation"
"All",10,"has_neighbour",NA,NA,NA,NA,NA,683,NA,NA,"Skipped: predictor has insufficient variation",NA
"All",20,"has_neighbour",0.366311053003211,0.0189522759475937,0.00805833261693804,0.00660173692327715,1087.17254169751,683,0.0605250658742823,0.672097040132141,"OK","more nearby plots are associated with higher DGR"
"All",30,"has_neighbour",0.549695912753755,0.00389463409782882,0.0121697078419608,0.0107191494100106,1084.33577728947,683,0.177072030773057,0.922319794734454,"OK","more nearby plots are associated with higher DGR"
"All",40,"has_neighbour",0.582654110840277,0.00799244067628935,0.0102849675483776,0.0088316415095353,1085.63767211257,683,0.152611470353795,1.01269675132676,"OK","more nearby plots are associated with higher DGR"
"All",50,"has_neighbour",1.19180583715586,0.0263264250676782,0.00722498197270435,0.00576716256297261,1087.74610318127,683,0.140668098432195,2.24294357587953,"OK","more nearby plots are associated with higher DGR"
"All",60,"has_neighbour",1.19180583715586,0.0263264250676782,0.00722498197270435,0.00576716256297261,1087.74610318127,683,0.140668098432195,2.24294357587953,"OK","more nearby plots are associated with higher DGR"
"All",70,"has_neighbour",1.19180583715586,0.0263264250676782,0.00722498197270435,0.00576716256297261,1087.74610318127,683,0.140668098432195,2.24294357587953,"OK","more nearby plots are associated with higher DGR"
"All",80,"has_neighbour",1.19180583715586,0.0263264250676782,0.00722498197270435,0.00576716256297261,1087.74610318127,683,0.140668098432195,2.24294357587953,"OK","more nearby plots are associated with higher DGR"
"All",90,"has_neighbour",1.19180583715586,0.0263264250676782,0.00722498197270435,0.00576716256297261,1087.74610318127,683,0.140668098432195,2.24294357587953,"OK","more nearby plots are associated with higher DGR"
"All",100,"has_neighbour",1.19180583715586,0.0263264250676782,0.00722498197270435,0.00576716256297261,1087.74610318127,683,0.140668098432195,2.24294357587953,"OK","more nearby plots are associated with higher DGR"
